sample_id,patient_id,cancer_type,TP53,VEGFA,HIF1A,ANGPT2,FLT1
TCGA-99-8032-01A-11R-2241-07,TCGA-99-8032,LUAD,5.777599972079301,7.834817213993283,5.901502370200742,4.62328327651928,4.555195521578542
TCGA-91-6828-01A-11R-1858-07,TCGA-91-6828,LUAD,6.226826390489701,7.583428731854099,7.133414301432064,3.4186654598116415,4.945619315802586
TCGA-L9-A50W-01A-12R-A39D-07,TCGA-L9-A50W,LUAD,5.075433467653995,7.4813158334311725,5.587691388051514,2.7354289549919453,3.640227934475493
TCGA-55-8505-01A-11R-2403-07,TCGA-55-8505,LUAD,5.616563603252766,6.995371305625627,6.834198609580683,2.909420899011655,3.9780914512931025
TCGA-97-7937-01A-11R-2170-07,TCGA-97-7937,LUAD,6.682754173445159,8.69959912521456,5.888407925642211,2.1825258611465133,2.5800382799637016
TCGA-97-8179-01A-11R-2287-07,TCGA-97-8179,LUAD,6.940736868657749,8.038430393589346,5.729943174450167,4.122616833812179,4.654965262276454
TCGA-05-5715-01A-01R-1628-07,TCGA-05-5715,LUAD,5.8059573795023205,6.169436179642215,5.779281007409345,2.012076058604658,3.669402828203156
TCGA-50-6592-01A-11R-1755-07,TCGA-50-6592,LUAD,5.926254696807087,7.997040164513797,6.483781165244353,3.7399679895502698,4.754992551799291
TCGA-78-8640-01A-11R-2403-07,TCGA-78-8640,LUAD,5.169529680493741,7.788167940824056,5.76803235633581,2.452321736825608,3.584137618495624
TCGA-86-8585-01A-11R-2403-07,TCGA-86-8585,LUAD,3.8353857458608545,7.735359307425557,4.871545342269111,1.6173337029828807,3.0093563846906664
TCGA-50-5931-01A-11R-1755-07,TCGA-50-5931,LUAD,5.069334903969692,7.604068427697409,6.481555099338368,2.864510317049899,3.613110473307633
TCGA-93-8067-01A-11R-2287-07,TCGA-93-8067,LUAD,5.912455805088665,7.423436165119599,6.870650424196302,1.986519361560223,4.027940271575406
TCGA-44-2656-01A-02R-0946-07,TCGA-44-2656,LUAD,4.573578574416164,7.395236905947945,6.599156830423065,2.631183730962028,3.644611437545533
TCGA-44-2665-01A-01R-A278-07,TCGA-44-2665,LUAD,4.411181313883895,6.80675833114197,8.361617079164057,4.312788060994799,4.843334104362509
TCGA-86-8668-01A-11R-2403-07,TCGA-86-8668,LUAD,5.851226322690132,8.479331823646257,6.070268296204146,4.097433472064269,5.219989659572742
TCGA-MP-A4T8-01A-11R-A24X-07,TCGA-MP-A4T8,LUAD,4.01010780569311,8.455020181831404,6.235588947837619,2.6770523990902126,3.9623519092138295
TCGA-44-A4SS-01A-11R-A24X-07,TCGA-44-A4SS,LUAD,5.818613118929077,6.285745789231377,7.061744144595174,2.2302087878385763,2.8936081206200552
TCGA-97-8172-01A-11R-2287-07,TCGA-97-8172,LUAD,6.287357252012176,6.886455969090895,6.217624725325534,2.7613290968043884,3.47688594649104
TCGA-49-6744-01A-11R-1858-07,TCGA-49-6744,LUAD,5.707104999803113,5.4920621503315115,6.401685992491616,2.8554547975238163,4.088188139846589
TCGA-4B-A93V-01A-11R-A39D-07,TCGA-4B-A93V,LUAD,6.831773968190738,9.106692535492035,5.25688261642809,2.605505160001402,3.779077434610294
TCGA-44-2661-01A-01R-1107-07,TCGA-44-2661,LUAD,5.1811197110512035,4.979195047781321,5.816369168030861,1.1208581496818315,1.599727381083029
TCGA-05-4396-01A-21R-1858-07,TCGA-05-4396,LUAD,3.8238431006872657,7.936716572629055,6.220720693087485,4.088563559679616,4.318225535012261
TCGA-91-A4BD-01A-11R-A24H-07,TCGA-91-A4BD,LUAD,4.752837762326329,5.505511664921654,3.58649235107743,0.3729195085045356,1.3879123899721622
